user_id,full_name,email,lastVisit,timeSpent,pagesViewed,interactionScore
1,Hardik Runwal,hardikrunwal123@gmail.com,3/28/2024,63.35,3,0.09
2,Meghann Meaden,mmeaden1@nymag.com,8/27/2024,73.04,1,0.8
3,Shanda Hoyt,shoyt2@feedburner.com,05-03-2024,74.53,6,0.33
4,Gottfried Arch,garch3@economist.com,7/15/2024,118.6,3,0.44
5,Jeannine Ruslen,jruslen4@nationalgeographic.com,10/22/2024,20.24,2,0.37
6,Ruprecht Ick,rick5@nifty.com,02-06-2025,26.92,5,0.64
7,Gian Moorman,gmoorman6@google.co.uk,02-12-2025,115.88,4,0.36
8,Simone McCamish,smccamish7@example.com,8/31/2024,41.21,3,0.14
9,Perry Younge,pyounge8@va.gov,3/23/2024,3.65,6,0.38
10,Curr Henri,chenri9@constantcontact.com,08-09-2024,72.75,2,0.28
11,Jeralee Demeter,jdemetera@eepurl.com,11/20/2024,77.52,6,0.79
12,Norris Nowland,nnowlandb@cornell.edu,8/18/2024,71.72,4,0.02
13,Annemarie Lochrie,alochriec@accuweather.com,4/17/2024,78.1,3,0.94
14,Reena Aronsohn,raronsohnd@answers.com,08-08-2024,42.89,3,0.78
15,Casi Hradsky,chradskye@about.com,08-11-2024,96.1,2,0.77
16,Paco Suarez,psuarezf@blogs.com,11/13/2024,55.35,1,0.32
17,Baillie Tween,btweeng@jiathis.com,12-05-2024,55,6,0.33
18,Roch Marcinkus,rmarcinkush@jimdo.com,5/15/2024,4.78,6,0.14
19,Caitlin McMurty,cmcmurtyi@berkeley.edu,12/29/2024,80.81,1,0.69
20,Mort Mamwell,mmamwellj@rambler.ru,05-09-2024,99.06,5,0.21
21,Drud Eddie,deddiek@usatoday.com,4/20/2024,36.81,1,0.03
22,Saunderson Kuscha,skuschal@cbslocal.com,05-11-2024,70.46,3,0.66
23,Aurelea Sutlieff,asutlieffm@gmpg.org,11/24/2024,91.22,6,0.45
24,Rosalynd Durrance,rdurrancen@omniture.com,2/23/2025,19.02,5,0.15
25,Barnie Menhenitt,bmenhenitto@chicagotribune.com,06-01-2024,31.02,4,0.28
26,Terrijo Jimeno,tjimenop@w3.org,5/13/2024,59.52,4,0.95
27,Selinda Draisey,sdraiseyq@webs.com,11/20/2024,42.93,5,0.25
28,Mignonne Espino,mespinor@flickr.com,9/21/2024,92.65,4,0.06
29,Abdel Doveston,adovestons@comcast.net,2/21/2025,28.92,6,0.84
30,Maurice Cowlam,mcowlamt@istockphoto.com,08-09-2024,1.97,4,0.09
31,Benedikt Cray,bcrayu@mit.edu,7/21/2024,67.66,3,0.59
32,Ellyn Feldmesser,efeldmesserv@newyorker.com,07-09-2024,14.05,2,0.45
33,Werner Haw,whaww@businessinsider.com,11-10-2024,11.6,1,0.53
34,Marchelle Eite,meitex@theglobeandmail.com,8/14/2024,6.39,4,0.42
35,Arte Howman,ahowmany@mediafire.com,04-06-2024,22.53,1,0.69
36,Daron Sarvar,dsarvarz@networkadvertising.org,7/13/2024,91.4,2,0.58
37,Gaby Gimbart,ggimbart10@forbes.com,8/30/2024,22.99,4,0.27
38,Gisella Baignard,gbaignard11@blogspot.com,2/28/2025,18.67,5,0.17
39,Neill Denney,ndenney12@google.ru,12/15/2024,70.56,6,0.7
40,Ephraim Panswick,epanswick13@examiner.com,03-06-2025,99.54,2,0.67
41,Berni Mattea,bmattea14@techcrunch.com,1/24/2025,56.5,2,0.99
42,Reinaldos Abrahamsson,rabrahamsson15@apache.org,4/29/2024,45.19,1,0.37
43,Garey Garnsey,ggarnsey16@plala.or.jp,12/14/2024,38.63,2,0.95
44,Liv Luttger,lluttger17@java.com,4/25/2024,64.37,3,0.59
45,Nelli Mereweather,nmereweather18@photobucket.com,4/22/2024,94.27,1,0.64
46,Alaine Asmus,aasmus19@booking.com,11/18/2024,47.19,1,0.75
47,Abagael Taplin,ataplin1a@netscape.com,10-04-2024,110.73,1,0.12
48,Giacobo Gorthy,ggorthy1b@edublogs.org,10/19/2024,91.84,1,0.35
49,Adelina Borges,aborges1c@lycos.com,12-11-2024,72.23,3,0.38
50,Eldredge Pluthero,epluthero1d@ustream.tv,02-10-2025,48.89,6,0.02
51,Edwin Arendsen,earendsen1e@aboutads.info,6/29/2024,14.6,3,0.9
52,Gerhardine Purdy,gpurdy1f@clickbank.net,4/20/2024,79.18,1,0.76
53,Kendell Blesdill,kblesdill1g@oakley.com,10/13/2024,22.75,1,0.69
54,Lena Tomaszewicz,ltomaszewicz1h@sphinn.com,08-06-2024,52.19,3,0
55,Bride Widdall,bwiddall1i@guardian.co.uk,09-08-2024,67.68,6,0.7
56,Teodora De Michele,tde1j@microsoft.com,3/22/2025,15.41,1,0.2
57,Sheeree Bulstrode,sbulstrode1k@uol.com.br,08-03-2024,22.75,4,0.09
58,Fionnula Morant,fmorant1l@cornell.edu,07-03-2024,97.82,4,0.91
59,Haskell Cardis,hcardis1m@buzzfeed.com,12/13/2024,25.15,2,0.36
60,Zach Dufty,zdufty1n@dyndns.org,08-07-2024,15.31,4,0.52
61,Alethea Bartles,abartles1o@multiply.com,10/28/2024,99.65,1,0.79
62,Meggy Trouncer,mtrouncer1p@taobao.com,12/19/2024,10.85,4,0.66
63,Kerry Cornillot,kcornillot1q@163.com,12-05-2024,75.53,6,0.9
64,Karisa Roycroft,kroycroft1r@admin.ch,12-10-2024,23.24,6,0.5
65,Rand Switzer,rswitzer1s@yellowbook.com,9/17/2024,112.87,4,0.59
66,Bron Moncrefe,bmoncrefe1t@domainmarket.com,10/19/2024,26.2,1,0.33
67,Inglis Davenall,idavenall1u@xinhuanet.com,12/26/2024,66.64,4,0.83
68,Darren Fisbburne,dfisbburne1v@gov.uk,03-12-2025,77.87,2,0.87
69,Lulu Derle,lderle1w@fastcompany.com,5/31/2024,85.32,3,0.4
70,Regan Tant,rtant1x@bbb.org,2/13/2025,91.33,1,0.35
71,Glen Meedendorpe,gmeedendorpe1y@baidu.com,6/26/2024,1.69,2,0.94
72,Em Wingrove,ewingrove1z@loc.gov,11-07-2024,6.09,2,0.82
73,Newton Le Cornu,nle20@intel.com,3/31/2024,31.03,2,0.15
74,Lyndell Butterick,lbutterick21@blog.com,1/26/2025,37.7,3,0.28
75,Vincenz Pawle,vpawle22@wiley.com,3/18/2025,62.24,6,0.86
76,Susanetta Iddenden,siddenden23@reverbnation.com,7/20/2024,25.58,2,0.49
77,Prisca Southouse,psouthouse24@examiner.com,07-07-2024,100.44,1,0.7
